id,title,title_original,director_id,release_date,mins,country,genre,imdb,youtube,youtube_title,wikipedia,famous,itunes
foreign-affair_1948,A Foreign Affair,A Foreign Affair,wilder-billy,1948-06-30,116,USA,Romance-Comedy,http://www.imdb.com/title/tt0040367/?ref_=ttrel_rel_tt,jbfODUMJMxc,Marlene Dietrich - A Foreign Affair,,1,
blood-on-the-moon,Blood on the Moon,Blood on the Moon,wise-robert,1948-11-11,88,USA,Western,http://www.imdb.com/title/tt0040175/?ref_=ttrel_rel_tt,467PwKFygbE,Blood on the Moon (1948) - Fight Scene,,1,
i-want-to-live_1958,I Want to Live!,I Want to Live!,wise-robert,1958-11-11,120,USA,Crime-Biography-Drama,http://www.imdb.com/title/tt0051758/?ref_=ttrel_rel_tt,fMUmX7B5gOk,Trailer,,1,
as-tears-go-by_1988,As Tears Go By,Wang Jiao ka men,wong-kar-wai,1988-06-09,102,Hong Kong,Drama-Crime,http://www.imdb.com/title/tt0096461/?ref_=fn_al_tt_1,uFqXPixO7Tc,Trailer,,1,
big-country,The Big Country,The Big Country,wyler-william,1958-08-13,166,USA,Romance-Western,http://www.imdb.com/title/tt0051411/?ref_=ttrel_rel_tt,J6J-ScXKzQE,Trailer,,1,
zatoichi-and-the-fugitives,Zatoichi and the Fugitives,Zatôichi hatashi-jô,yasuda-kimiyoshi,1968-08-10,82,Japan,Action-Adventure-Drama,http://www.imdb.com/title/tt0063835/?ref_=ttrel_rel_tt,nWQMYgFkpzw,Zatoichi and Fugitives (1968) - summary,,1,
bullitt,Bullitt,Bullitt,yates-peter,1968-10-17,113,USA,Crime-Action,http://www.imdb.com/title/tt0062765/?ref_=ttrel_rel_tt,BsvD806qNM8,Trailer,,1,
blob_1958,The Blob,The Blob,yeaworth-jr-irvin-s,1958-09-12,86,USA,Science Fiction-Horror,http://www.imdb.com/title/tt0051418/?ref_=ttrel_rel_tt,GODDLgM1gKo,The Blob (1958) - At the Movies,,1,
drunken-master,Drunken Master,Zui quan,yuen-woo-ping,1978-10-05,107,Hong Kong,Comedy-Action,http://www.imdb.com/title/tt0080179/?ref_=ttrel_rel_tt,WSu-9X8NF9k,DRUNKEN MASTER - Trailer - Eurekaentertainment,,1,
searching-for-bobby-fischer,Searching for Bobby Fischer,Searching for Bobby Fischer,zaillian-steven,1993-08-11,110,USA,Drama,http://www.imdb.com/title/tt0108065/?ref_=ttrel_rel_tt,8khmNiamBxo,Trailer,,1,
who-framed-roger-rabbit,Who Framed Roger Rabbit?,Who Framed Roger Rabbit?,zemeckis-robert,1988-06-21,103,USA,Mystery-Comedy-Animated,http://www.imdb.com/title/tt0096438/?ref_=ttrel_rel_tt,fIXAT6fGUw4,Jessica Rabbit - Why Don't You Do Right? (HD),,1,
on-the-silver-globe,On the Silver Globe,Na srebrnym globie,zulawski-andrzej,1988-05-12,166,Poland,Adventure-Fantasy-Sci-Fi,http://www.imdb.com/title/tt0093593/?ref_=ttrel_rel_tt,HFf5BGNpnJ0,Trailer,,1,
