id,title,title_original,director_id,release_date,mins,country,genre,imdb,youtube,youtube_title,wikipedia,famous,itunes
remember-my-name,Remember My Name,Remember My Name,rudolph-alan,1978-02-01,96,USA,Thriller-Drama,http://www.imdb.com/title/tt0078150/?ref_=ttrel_rel_tt,,,,0,
three-sad-tigers,Three Sad Tigers,Tres Tristes Tigres,ruiz-raul,1968-11-19,100,Chile,Drama,http://www.imdb.com/title/tt0063718/?ref_=ttrel_rel_tt,WWsOMX0Rl_8,Escena de Tres tristes tigres - de Raúl Ruiz,,1,
suspended-vocation,The Suspended Vocation,La vocation suspendue,ruiz-raul,1978-07-27,90,France,Drama,http://www.imdb.com/title/tt0076894/?ref_=ttrel_rel_tt,T_1xeWRYs0M,Trailer,,1,
song-of-summer_1968,Song of Summer,Song of Summer,russell-ken,1968-09-15,74,UK,Documentary-Biography-Music,http://www.imdb.com/title/tt0063628/?ref_=ttrel_rel_tt,usPub-fNrdg,Ken Russell - Delius - Song of Summer (1968) 1/5,,1,
goke_body-snatcher-from-hell,Goke  Body Snatcher from Hell,Kyuketsuki Gokemidoro,sato-hajime ,1968-08-14,84,Japan,Horror-Sci-Fi,http://www.imdb.com/title/tt0063206/?ref_=ttrel_rel_tt,Sh9jBAr6RVQ,Trailer,,1,
last-waltz_1978,The Last Waltz,The Last Waltz,scorsese-martin,1978-04-26,117,USA,Documentary-Musical,http://www.imdb.com/title/tt0077838/?ref_=ttrel_rel_tt,M63DTQc6WPE,Trailer,,1,
last-temptation-of-christ,The Last Temptation of Christ,The Last Temptation of Christ,scorsese-martin,1988-08-12,164,USA-Canada,Religious-Drama,http://www.imdb.com/title/tt0095497/?ref_=ttrel_rel_tt,wPh1Wp-b8uU,"Passion ""The Last Temptation of Christ""",,1,
age-of-innocence_1993,The Age of Innocence,The Age of Innocence,scorsese-martin,1993-08-31,133,USA,Romance-Drama,http://www.imdb.com/title/tt0106226/?ref_=ttrel_rel_tt,K0bENHsyGPg,Trailer,,1,
true-romance_1993,True Romance,True Romance,scott-tony,1993-09-08,120,USA,Thriller-Romance-Crime,http://www.imdb.com/title/tt0108399/?ref_=ttrel_rel_tt,xAWc2Gi8xco,Trailer,,1,
hollow-triumph,Hollow Triumph,Hollow Triumph,sekely-steve,1948-08-18,83,USA,Crime-Drama-Film-Noir,http://www.imdb.com/title/tt0040444/?ref_=ttrel_rel_tt,T2J3MbooZvY,Trailer,,1,
nightmare-before-christmas,The Nightmare Before Christmas,The Nightmare Before Christmas,selick-henry,1993-10-09,76,USA,Family-Fantasy-Animated,http://www.imdb.com/title/tt0107688/?ref_=ttrel_rel_tt,vHLgob-PpIk,Trailer,,1,
money-order_mandabi,The Money Order,Mandabi,sembene-ousmane,1968-11-27,90,France-Senegal,Comedy,http://www.imdb.com/title/tt0063268/?ref_=ttrel_rel_tt,UpjM1PY6tok,"Opening scene from ""Mandabi"" (1968) Audio Track: Masani Cisse",,1,
red-light-bandit,The Red Light Bandit,O Bandido da Luz Vermelha,sganzerla-rogerio,1968-12-02,92,Brazil,Thriller-Crime,http://www.imdb.com/title/tt0144782/?ref_=ttrel_rel_tt,u3-rnfXsxps,Trailer,,1,
bull-durham,Bull Durham,Bull Durham,shelton-ron,1988-06-15,108,USA,Comedy,http://www.imdb.com/title/tt0094812/?ref_=ttrel_rel_tt,dnJFndf-Krg,Trailer,,1,
In-the-name-of-the-father,In the Name of the Father,In the Name of the Father,sheridan-jim,1993-12-12,133,Ireland-UK-USA,Biography-Drama ,http://www.imdb.com/title/tt0107207/?ref_=ttrel_rel_tt,9tLMgoGW_S0,In the Name of the Father - Daniel Day Lewis /Gerry Conlon Scene!,,1,
